Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,E5_AGRPURGSL,,,2018,4.76308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E5_AGRPURGSL,,,2019,5.21402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E5_AGRPURGSL,,,2020,4.84324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E5_AGRPURGSL,,,2021,5.41021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E5_AGRPURGSL,,,2022,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E5_AGRPURGSL,,,2023,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E5_AGRPURGSL,,,2024,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E5_AGRPURGSL,,,2025,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E5_AGRPURGSL,,,2026,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E5_AGRPURGSL,,,2027,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E5_AGRPURGSL,,,2028,6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E5_AGRPURGSL,,,2029,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E5_AGRPURGSL,,,2030,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,E5_AGRPURGSL,,,2031,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
