Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,CEM_PROD,PROD_CEM,,2018,,,,,,5.05598,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2018,,,,,,5.05598,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2018,,,,,,5.05598,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,CEM_PROD,PROD_CEM,,2018,,,,,,5.05598,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2019,,,,,,4.81764,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2019,,,,,,4.81764,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2019,,,,,,4.81764,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,CEM_PROD,PROD_CEM,,2019,,,,,,4.81764,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,CEM_PROD,PROD_CEM,,2020,,,,,,3.85195,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,CEM_PROD,PROD_CEM,,2020,,,,,,3.85195,,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,CEM_PROD,PROD_CEM,,2020,,,,,,3.85195,,,,,,,,,,,,,,,,,,,,,,,,,,
